typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H6,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42.702,True,-1,N/A,0.0,False,42.702,True,0.0,False,2530993.582,,2530993.582,6,True,False
C,A,20160101,2016,52,2016,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.42,False,8,kg,0.42,False,0.42,False,,False,15771.179,,15771.179,0,True,False
C,A,20170101,2017,52,2017,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.204,True,-1,N/A,0.0,False,0.204,True,0.0,False,7768.003,0.0,7768.003,6,True,False
C,A,20220101,2022,52,2022,380,ITA,Italy,FM,Foreign Import,12,DZA,Algeria,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.373,False,15,g,6373.0,False,6.0,False,0.0,False,374007.07,,374007.07,0,True,False
C,A,20220101,2022,52,2022,380,ITA,Italy,M,Import,12,DZA,Algeria,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.373,False,15,g,6373.0,False,6.0,False,0.0,False,374007.07,,374007.07,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,FM,Foreign Import,12,DZA,Algeria,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15.0,False,15,g,15000.0,False,15.0,False,0.0,False,974988.836,,974988.836,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,12,DZA,Algeria,0,W00,World,H6,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15.0,False,15,g,15000.0,False,15.0,False,0.0,False,974988.836,,974988.836,0,True,False
C,A,20180101,2018,52,2018,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,8,kg,8.0,False,8.0,False,0.0,False,239342.405,0.0,239342.405,0,True,False
C,A,20190101,2019,52,2019,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12.88,False,8,kg,12.88,False,12.88,False,0.0,False,395951.134,0.0,395951.134,0,True,False
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,12,DZA,Algeria,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,66.655,False,15,g,66655.0,False,66.0,False,0.0,False,2110855.0,2108505.0,2110855.0,0,False,True
